Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6608
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.664
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6753
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6808
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6931
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 2, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 3, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 4, Clients Trained: [8086], Accuracy: 0.6984
Fed Id: 1634887529, Round - 0, Clients Trained: [8088], Accuracy: 0.4854
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6413
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6459
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 1634887529, Round - 0, Clients Trained: [8086], Accuracy: 0.6243
Fed Id: 1634887529, Round - 1, Clients Trained: [8086], Accuracy: 0.6243
